Station Id,Station,Précédent,Suivant,Temps entre 2 stations,Temps de Changement
232,Oberkampf,République,Saint-Ambroise,1.0,1.0
233,Saint-Ambroise,Oberkampf,Voltaire,2.0,
234,Voltaire,Saint-Ambroise,Charonne,1.0,
235,Charonne,Voltaire,Rue des Boulets,2.0,
236,Rue des Boulets,Charonne,Nation,1.0,
237,Nation,Rue des Boulets,Buzenval,2.0,3.0
238,Buzenval,Nation,Maraîchers,1.0,
239,Maraîchers,Buzenval,Porte de Montreuil,2.0,
240,Porte de Montreuil,Maraîchers,Gare d'Austerlitz,3.0,
241,Gare d'Austerlitz,Porte de Montreuil,Jussieu,2.0,3.0
242,Jussieu,Gare d'Austerlitz,Cardinal Lemoine,1.0,2.0
243,Cardinal Lemoine,Jussieu,Maubert - Mutualité,2.0,
244,Maubert - Mutualité,Cardinal Lemoine,Cluny - La Sorbonne,1.0,
245,Cluny - La Sorbonne,Maubert - Mutualité,Odéon,4.0,2.0
246,Odéon,Cluny - La Sorbonne,Mabillon,2.0,1.0
247,Mabillon,Odéon,Sèvres - Babylone,1.0,
248,Sèvres - Babylone,Mabillon,Vaneau,4.0,2.0
249,Vaneau,Sèvres - Babylone,Duroc,2.0,
250,Duroc,Vaneau,Ségur,1.0,1.0
251,Ségur,Duroc,La Motte-Picquet - Grenelle,1.0,
252,La Motte-Picquet - Grenelle,Ségur,Avenue Emile Zola,1.0,2.0
253,Avenue Emile Zola,La Motte-Picquet - Grenelle,Charles Michels,2.0,
254,Charles Michels,Avenue Emile Zola,Javel - André Citroën,1.0,
255,Javel - André Citroën,Charles Michels,Eglise d'Auteuil,2.0,2.0
256,Eglise d'Auteuil,Javel - André Citroën,Michel-Ange - Auteuil,1.0,
257,Michel-Ange - Auteuil,Eglise d'Auteuil,Porte d'Auteuil,2.0,2.0
258,Porte d'Auteuil,Michel-Ange - Auteuil,Michel-Ange - Molitor,1.0,
259,Michel-Ange - Molitor,Porte d'Auteuil,Chardon Lagache,3.0,2.0
260,Chardon Lagache,Michel-Ange - Molitor,Mirabeau,3.0,
261,Mirabeau,Chardon Lagache,Châtelet,3.0,
262,Châtelet,Mirabeau,Hôtel de Ville,3.0,4.0
263,Hôtel de Ville,Châtelet,Rambuteau,2.0,2.0
264,Rambuteau,Hôtel de Ville,Arts et Métiers,1.0,
265,Arts et Métiers,Rambuteau,République,2.0,2.0
266,République,Arts et Métiers,Goncourt,3.0,3.0
267,Goncourt,République,Belleville,2.0,
268,Belleville,Goncourt,Pyrénées,1.0,2.0
269,Pyrénées,Belleville,Jourdain,2.0,
270,Jourdain,Pyrénées,Place des Fêtes,1.0,
271,Place des Fêtes,Jourdain,Télégraphe,2.0,2.0
272,Télégraphe,Place des Fêtes,Porte des Lilas,1.0,
273,Porte des Lilas,Télégraphe,Porte de la Chapelle,2.0,3.0
274,Porte de la Chapelle,Porte des Lilas,Marx Dormoy,1.0,
275,Marx Dormoy,Porte de la Chapelle,Marcadet - Poissonniers,4.0,
276,Marcadet - Poissonniers,Marx Dormoy,Jules Joffrin,2.0,2.0
277,Jules Joffrin,Marcadet - Poissonniers,Lamarck - Caulaincourt,1.0,
278,Lamarck - Caulaincourt,Jules Joffrin,Abbesses,4.0,
279,Abbesses,Lamarck - Caulaincourt,Pigalle,2.0,
280,Pigalle,Abbesses,Saint-Georges,1.0,2.0
281,Saint-Georges,Pigalle,Notre-Dame-de-Lorette,4.0,
282,Notre-Dame-de-Lorette,Saint-Georges,Trinité - d'Estienne d'Orves,1.0,
